Claim_ID,Customer_Age,Gender,Policy_Type,Claim_Amount,Premium_Amount,Claim_History_Count,Previous_Fraud_Flag,Days_To_Report,Claim_Type,Risk_Label
CLM10000,69,Male,Property,74539.42,4923.93,0,0,23,Medical,Low Risk
CLM10001,38,Male,Life,325243.92,3568.51,1,0,27,Natural Disaster,Low Risk
CLM10002,79,Female,Property,63746.67,3325.02,1,0,6,Natural Disaster,Low Risk
CLM10003,70,Female,Life,158461.46,11673.0,3,0,16,Medical,High Risk
CLM10004,21,Female,Vehicle,16081.97,1126.06,5,0,35,Medical,High Risk
CLM10005,79,Female,Health,20045.19,1121.48,0,0,59,Accident,Low Risk
CLM10006,32,Male,Health,1766.18,342.92,0,1,50,Natural Disaster,High Risk
CLM10007,58,Female,Property,85753.66,4464.48,0,0,36,Medical,High Risk
CLM10008,52,Male,Property,16361.45,1618.2,1,0,274,Natural Disaster,Low Risk
CLM10009,68,Male,Life,336384.69,13184.28,4,0,42,Accident,High Risk
CLM10010,49,Male,Property,71004.57,6686.34,0,0,27,Medical,Low Risk
CLM10011,79,Male,Health,12168.82,1016.66,3,1,7,Theft,High Risk
CLM10012,54,Male,Property,30594.17,1145.45,0,0,51,Accident,Low Risk
CLM10013,56,Female,Property,33583.44,1311.52,1,0,306,Accident,Low Risk
CLM10014,18,Male,Vehicle,5201.95,775.43,0,0,10,Accident,Low Risk
CLM10015,87,Female,Property,82561.03,6917.99,1,0,2,Natural Disaster,High Risk
CLM10016,53,Male,Vehicle,15850.7,839.69,0,0,38,Accident,Low Risk
CLM10017,67,Male,Property,88347.24,3298.42,3,0,59,Accident,High Risk
CLM10018,65,Female,Life,301232.05,27116.86,0,0,15,Medical,Low Risk
CLM10019,89,Female,Vehicle,20400.66,1519.09,4,1,45,Theft,High Risk
CLM10020,52,Female,Health,11989.2,1083.25,0,0,7,Accident,Low Risk
CLM10021,76,Male,Vehicle,8690.87,766.96,0,0,26,Accident,Low Risk
CLM10022,47,Male,Life,351015.83,31002.52,1,0,249,Medical,Low Risk
CLM10023,23,Male,Life,56955.48,5599.38,5,0,20,Accident,High Risk
CLM10024,84,Female,Vehicle,17147.24,1994.61,1,0,31,Natural Disaster,Low Risk
CLM10025,19,Female,Health,42584.82,1333.03,1,0,25,Accident,Low Risk
CLM10026,41,Male,Life,280104.08,15863.27,1,0,187,Medical,Low Risk
CLM10027,80,Female,Property,49231.81,3111.32,1,1,134,Natural Disaster,High Risk
CLM10028,77,Male,Health,41565.58,1917.57,1,0,31,Natural Disaster,Low Risk
CLM10029,33,Male,Vehicle,15972.71,1042.07,0,0,54,Theft,Low Risk
CLM10030,79,Male,Property,71117.55,3498.03,0,0,53,Medical,High Risk
CLM10031,78,Male,Life,299459.32,19749.13,0,0,36,Accident,High Risk
CLM10032,86,Male,Health,16259.25,1766.07,0,0,20,Accident,Low Risk
CLM10033,27,Female,Health,44447.34,1594.24,4,0,44,Medical,Low Risk
CLM10034,19,Male,Life,313599.01,30003.15,0,0,32,Natural Disaster,High Risk
CLM10035,50,Female,Vehicle,6993.85,428.22,0,1,49,Accident,High Risk
CLM10036,25,Male,Vehicle,20766.8,1048.58,1,0,49,Accident,Low Risk
CLM10037,53,Female,Health,37780.12,3617.41,1,0,38,Natural Disaster,Low Risk
CLM10038,79,Female,Health,12691.25,1299.4,0,0,48,Medical,Low Risk
CLM10039,36,Male,Life,54876.94,5156.9,0,0,51,Natural Disaster,Low Risk
CLM10040,33,Male,Health,15367.33,977.24,2,0,56,Accident,Low Risk
CLM10041,22,Male,Property,56862.0,4668.23,2,0,16,Natural Disaster,Low Risk
CLM10042,63,Male,Life,82743.35,7330.24,0,0,18,Accident,Low Risk
CLM10043,88,Male,Health,37915.53,1796.5,2,0,26,Natural Disaster,Low Risk
CLM10044,56,Female,Property,29099.81,1680.8,2,0,40,Natural Disaster,Low Risk
CLM10045,80,Female,Health,5061.67,565.85,3,0,222,Medical,High Risk
CLM10046,53,Male,Property,97083.74,5893.18,2,0,52,Natural Disaster,Low Risk
CLM10047,45,Male,Life,126355.96,8874.85,0,0,36,Medical,High Risk
CLM10048,44,Female,Property,55929.15,2542.86,2,0,156,Natural Disaster,High Risk
CLM10049,83,Female,Life,444497.67,26677.07,1,0,17,Accident,High Risk
CLM10050,28,Male,Vehicle,12045.83,1608.81,3,0,34,Accident,Low Risk
